noc,title,skill_level,2019_est_employments,2019_wage_est,job_outlook,job_openings,soft_skills
5231,Announcers and other broadcasters ,PS ,250,"$61,200.00",Fair ,30,"Effective interpersonal skills, organized, excellent oral communication "
5232,"Other performers, n.e.c. ",PS ,90,n.a. ,Fair ,20,"Flexibility, reliability, client focus, effective interpersonal skills "
5241,Graphic designers and illustrators ,PS ,800,"$51,200.00",Fair ,160,"Work under pressure, tight deadlines, team player "
5242,Interior designers and interior decorators ,PS ,440,"$46,400.00",Fair ,110,"Attention to detail, organized, client focus "
5243,"Theatre, fashion, exhibit and other creative designers ",PS ,220,"$32,000.00",Fair ,50,"Attention to detail, team player, organized "
5244,Artisans and craftsperson ,PS ,380,"$31,000.00",Fair ,110,"Attention to detail, accurate, excellent oral communication "
5252,Coaches ,PS ,230,"$53,900.00",Fair ,30,"Organized, team player, reliability "
5253,Sports officials and referees ,PS ,170,n.a. ,Fair ,20,n.a. 
5254,"Program leaders and instructors in recreation, sport and fitness ",PS ,2610,"$38,400.00",Fair ,180,"Team player, dependability, reliability "
6211,Retail sales supervisors ,PS ,2250,"$41,300.00",Fair ,360,"Team player, organized, reliability "
6221,Technical sales specialists - wholesale trade ,PS ,2450,"$85,400.00",Fair ,440,"Excellent oral communication, effective interpersonal skills, client focus "
6222,Retail and wholesale buyers ,PS ,770,"$37,800.00",Fair ,110,"Attention to detail, organized, accurate "
6231,Insurance agents and brokers ,PS ,1970,"$59,100.00",Fair ,400,"Excellent oral communication, client focus, team player, organized "
6232,Real estate agents and salespersons ,PS ,1580,"$50,000.00",Fair ,140,n.a. 
6235,Financial sales representatives ,PS ,2160,"$55,600.00",Fair ,350,"Team player, organized, excellent oral communication "
6311,Food service supervisors ,PS ,1770,"$30,800.00",Fair ,200,"Team player, flexibility, work under pressure "
6312,Executive housekeepers ,PS ,180,"$33,000.00",Fair ,50,"Reliability, organized, attention to detail, team player, dependability "
6313,"Accommodation, travel, tourism and related services supervisors ",PS ,260,"$49,100.00",Limited ,50,"Organized, team player, attention to detail "
6314,Customer and information services supervisors ,PS ,190,"$65,000.00",Fair ,40,"Attention to detail, organized, client focus "
6315,Cleaning supervisors ,PS ,310,"$48,200.00",Fair ,80,"Reliability, flexibility, dependability "
6316,Other services supervisors ,PS ,460,"$50,400.00",Fair ,100,"Team player, organized, reliability "
6321,Chefs ,PS ,1140,"$43,300.00",Fair ,170,"Team player, organized, reliability "
6322,Cooks ,PS ,7550,"$30,500.00",Good ,1220,"Team player, reliability, work under pressure "
6331,"Butchers, meat cutters and fishmongers - retail and wholesale ",PS ,570,"$44,900.00",Fair ,110,"Reliability, work under pressure, team player "
6332,Bakers ,PS ,1210,"$32,400.00",Fair ,200,"Reliability, team player, dependability "
6341,Hairstylists and barbers ,PS ,3330,"$29,600.00",Fair ,430,"Client focus, reliability, attention to detail "
6342,"Tailors, dressmakers, furriers and milliners ",PS ,320,"$28,000.00",Fair ,80,"Attention to detail, reliability, organized "
6344,"Jewellers, jewellery and watch repairers and related occupations ",PS ,120,"$23,600.00",Fair ,30,"Attention to detail, accurate, team player, judgement "
6345,Upholsterers ,PS ,120,"$27,400.00",Fair ,40,Attention to detail 
6346,Funeral directors and embalmers ,PS ,270,"$53,100.00",Fair ,60,"Reliability, excellent oral communication, dependability "
6411,Sales and account representatives - wholesale trade (non-technical) ,HS ,2920,"$71,700.00",Good ,620,"Excellent oral communication, client focus, organized "
6421,Retail salespersons ,HS ,20020,"$40,700.00",Good ,3030,"Team player, dependability, reliability "
6511,Maîtres d'hôtel and hosts/hostesses ,HS ,860,"$26,700.00",Fair ,70,"Team player, excellent oral communication, organized "
6512,Bartenders ,HS ,1430,n.a. ,Fair ,150,"Reliability, team player, excellent oral communication "
6513,Food and beverage servers ,HS ,7000,n.a. ,Good ,680,"Team player, reliability, flexibility "
6521,Travel counsellors ,HS ,350,"$41,600.00",Fair ,90,"Team player, excellent oral communication, effective interpersonal skills, reliability "
6522,Pursers and flight attendants ,HS ,90,"$39,200.00",Limited ,20,n.a. 
6523,Airline ticket and service agents ,HS ,280,"$53,500.00",Fair ,90,"Team player, excellent oral communication, reliability "
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks ",HS ,100,"$44,000.00",Fair ,20,"Excellent oral communication, team player, reliability "
6525,Hotel front desk clerks ,HS ,970,"$31,400.00",Limited ,230,"Reliability, attention to detail, team player "
6531,Tour and travel guides ,HS ,70,n.a. ,Limited ,10,"Attention to detail, excellent oral communication, client focus "
6532,Outdoor sport and recreational guides ,HS ,160,"$31,100.00",Fair ,50,"Team player, effective interpersonal skills, reliability "
6533,Casino occupations ,HS ,610,"$47,600.00",Fair ,80,"Effective interpersonal skills, work under pressure, excellent oral communication "
6541,Security guards and related security service occupations ,HS ,2900,"$40,100.00",Good ,660,"Reliability, team player, excellent oral communication "
6551,Customer services representatives - financial institutions ,HS ,2240,"$41,100.00",Fair ,330,"Client focus, attention to detail, excellent oral communication "
6552,Other customer and information services representatives ,HS ,4750,"$51,900.00",Fair ,740,"Attention to detail, reliability, excellent oral communication "
6561,"Image, social and other personal consultants ",HS ,80,"$32,500.00",Fair ,10,"Client focus, team player, reliability "
6562,"Estheticians, electrologists and related occupations ",HS ,1550,"$30,600.00",Fair ,160,"Client focus, reliability, attention to detail "
6563,Pet groomers and animal care workers ,HS ,600,"$29,600.00",Fair ,70,"Reliability, dependability, attention to detail "
6564,Other personal service occupations ,HS ,90,n.a. ,Fair ,20,n.a. 
6611,Cashiers ,LHS ,9740,"$28,500.00",Good ,1220,"Attention to detail, team player, flexibility "
6621,Service station attendants ,LHS ,1980,"$27,400.00",Limited ,220,"Reliability, effective interpersonal skills, flexibility "
6622,"Store shelf stockers, clerks and order fillers ",LHS ,5430,"$32,200.00",Fair ,710,"Attention to detail, team player, reliability "
6623,Other sales related occupations ,LHS ,710,"$38,300.00",Fair ,130,"Reliability, dependability, excellent oral communication "
6711,"Food counter attendants, kitchen helpers and related support occupations ",LHS ,11400,"$29,400.00",Good ,1140,"Team player, reliability, work under pressure "
6721,"Support occupations in accommodation, travel and facilities set-up services ",LHS ,80,"$38,700.00",Limited ,20,"Team player, flexibility, client focus "
6722,"Operators and attendants in amusement, recreation and sport ",LHS ,850,"$45,400.00",Limited ,110,"Reliability, team player, effective interpersonal skills "
6731,Light duty cleaners ,LHS ,7580,"$35,600.00",Good ,1620,"Attention to detail, reliability, dependability "
6732,Specialized cleaners ,LHS ,1970,"$34,300.00",Fair ,250,"Attention to detail, reliability, team player "
6733,"Janitors, caretakers and building superintendents ",LHS ,8940,"$43,100.00",Good ,1900,"Reliability, dependability, flexibility "
6741,"Dry cleaning, laundry and related occupations ",LHS ,810,"$32,400.00",Fair ,190,"Team player, attention to detail, work under pressure "
6742,"Other service support occupations, n.e.c. ",LHS ,780,"$40,100.00",Fair ,130,"Reliability, team player, flexibility "
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations ",PS ,740,"$87,400.00",Fair ,140,"Attention to detail, work under pressure, tight deadlines "
7202,"Contractors and supervisors, electrical trades and telecommunications occupations ",PS ,590,"$106,000.00",Fair ,90,"Effective interpersonal skills, organized, team player "
7203,"Contractors and supervisors, pipefitting trades ",PS ,280,"$92,000.00",Fair ,40,"Judgement, team player, reliability "
7204,"Contractors and supervisors, carpentry trades ",PS ,780,"$69,400.00",Fair ,240,"Organized, reliability, team player "
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers ",PS ,1670,"$67,000.00",Fair ,290,"Team player, reliability, organized "
7231,Machinists and machining and tooling inspectors ,PS ,790,"$73,100.00",Fair ,130,"Attention to detail, accurate, dependability "
7232,Tool and die makers ,PS ,80,"$58,200.00",Fair ,20,"Attention to detail, team player, organized "
7233,Sheet metal workers ,PS ,790,"$65,900.00",Fair ,60,"Dependability, team player, attention to detail "
7234,Boilermakers ,PS ,200,"$107,300.00",Limited ,20,"Attention to detail, tight deadlines "
7235,Structural metal and platework fabricators and fitters ,PS ,130,"$76,100.00",Fair ,20,"Attention to detail, reliability, team player "
7236,Ironworkers ,PS ,560,"$99,000.00",Limited ,50,"Reliability, team player, dependability "
7237,Welders and related machine operators ,PS ,5230,"$61,900.00",Fair ,740,"Attention to detail, team player, organized "
7241,Electricians (except industrial and power system) ,PS ,3930,"$69,200.00",Fair ,250,"Attention to detail, team player, organized "
7242,Industrial electricians ,PS ,1650,"$116,000.00",Fair ,230,"Team player, excellent oral communication, organized "
7243,Power system electricians ,PS ,160,"$120,800.00",Fair ,30,n.a. 
7244,Electrical power line and cable workers ,PS ,960,"$106,300.00",Limited ,70,"Tight deadlines, team player, accurate, judgement "
7245,Telecommunications line and cable workers ,PS ,320,"$82,300.00",Limited ,30,"Attention to detail, reliability, organized, flexibility "
7246,Telecommunications installation and repair workers ,PS ,900,"$79,000.00",Fair ,120,"Attention to detail, accurate, flexibility "
7251,Plumbers ,PS ,2960,"$67,300.00",Limited ,160,"Team player, work under pressure, judgement "
7252,"Steamfitters, pipefitters and sprinkler system installers ",PS ,860,"$96,800.00",Limited ,80,"Attention to detail, team player, effective interpersonal skills "
7253,Gas fitters ,PS ,190,"$104,600.00",Fair ,30,"Attention to detail, team player, dependability "
7271,Carpenters ,PS ,6390,"$52,300.00",Fair ,1130,"Team player, reliability, accurate "
7272,Cabinetmakers ,PS ,300,"$53,700.00",Limited ,110,"Attention to detail, team player, organized "
7281,Bricklayers ,PS ,360,"$60,200.00",Limited ,30,"Reliability, accurate, team player "
7282,Concrete finishers ,PS ,440,"$54,900.00",Limited ,30,"Team player, attention to detail, flexibility "
7283,Tilesetters ,PS ,240,"$51,000.00",Limited ,20,"Attention to detail, reliability, accurate "
7284,"Plasterers, drywall installers and finishers and lathers ",PS ,1140,"$44,000.00",Limited ,110,"Team player, reliability, dependability "
7291,Roofers and shinglers ,PS ,710,"$58,100.00",Fair ,50,"Team player, reliability, dependability "
7292,Glaziers ,PS ,270,"$51,900.00",Limited ,20,n.a 
7293,Insulators ,PS ,330,"$58,200.00",Limited ,30,n.a 
7294,Painters and decorators (except interior decorators) ,PS ,1470,"$49,700.00",Fair ,160,"Attention to detail, team player, reliability "
7295,Floor covering installers ,PS ,670,"$50,800.00",Fair ,80,"Team player, organized, effective interpersonal skills "
7301,"Contractors and supervisors, mechanic trades ",PS ,740,"$95,000.00",Fair ,170,"Attention to detail, team player, organized "
7302,"Contractors and supervisors, heavy equipment operator crews ",PS ,1830,"$92,700.00",Fair ,260,"Team player, reliability, organized "
7304,"Supervisors, railway transport operations ",PS ,120,"$102,500.00",Fair ,20,n.a. 
7305,"Supervisors, motor transport and other ground transit operators ",PS ,440,"$71,600.00",Fair ,110,"Organized, team player, flexibility "
7311,Construction millwrights and industrial mechanics ,PS ,2930,"$98,100.00",Fair ,380,"Attention to detail, team player, excellent oral communication "
7312,Heavy-duty equipment mechanics ,PS ,2830,"$82,100.00",Fair ,410,"Reliability, team player, attention to detail "
7313,Refrigeration and air conditioning mechanics ,PS ,620,"$78,600.00",Fair ,70,"Reliability, attention to detail, team player "
7314,Railway carmen/women ,PS ,230,"$70,400.00",Fair ,40,n.a. 
7315,Aircraft mechanics and aircraft inspectors ,PS ,340,"$78,600.00",Fair ,80,"Attention to detail, team player, reliability "
7318,Elevator constructors and mechanics ,PS ,110,"$103,900.00",Limited ,0,"Accurate, team player, organized "
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers ",PS ,5800,"$64,100.00",Good ,970,"Reliability, team player, attention to detail "
7322,Motor vehicle body repairers ,PS ,1410,"$64,200.00",Good ,260,"Attention to detail, reliability, team player "
7332,Appliance servicers and repairers ,PS ,240,"$49,200.00",Fair ,50,"Dependability, organized, client focus "
7333,Electrical mechanics ,PS ,90,"$78,500.00",Fair ,20,"Team player, accurate, excellent oral communication "
7334,"Motorcycle, all-terrain vehicle and other related mechanics ",PS ,200,"$65,000.00",Fair ,40,"Attention to detail, team player, reliability "
7335,Other small engine and small equipment repairers ,PS ,120,"$44,900.00",Limited ,20,"Attention to detail, reliability, team player "
7361,Railway and yard locomotive engineers ,PS ,560,"$122,000.00",Fair ,110,n.a. 
7362,Railway conductors and brakemen/women ,PS ,690,"$94,500.00",Fair ,70,"Attention to detail, reliability, judgement, accurate, dependability "
7371,Crane operators ,PS ,560,"$85,600.00",Fair ,80,"Attention to detail, team player, dependability "
7373,Water well drillers ,PS ,80,n.a. ,Limited ,10,Attention to detail 
7381,Printing press operators ,PS ,200,"$53,700.00",Fair ,40,"Attention to detail, reliability, team player "
7384,"Other trades and related occupations, n.e.c. ",PS ,370,"$50,900.00",Fair ,80,"Attention to detail, accurate, team player "
7441,Residential and commercial installers and servicers ,HS ,1470,"$52,800.00",Fair ,200,"Attention to detail, team player, reliability "
7442,Waterworks and gas maintenance workers ,HS ,360,"$66,300.00",Fair ,60,"Reliability, team player, attention to detail "
7444,Pest controllers and fumigators ,HS ,160,"$62,100.00",Fair ,40,"Attention to detail, reliability, effective interpersonal skills "
7445,Other repairers and servicers ,HS ,380,"$56,400.00",Fair ,70,"Reliability, attention to detail, organized "
7452,Material handlers ,HS ,5210,"$49,300.00",Fair ,910,"Reliability, team player, attention to detail "
7511,Transport truck drivers ,HS ,13320,"$63,900.00",Good ,3220,"Reliability, team player, flexibility "
7512,"Bus drivers, subway operators and other transit operators ",HS ,3350,"$49,900.00",Good ,980,"Reliability, team player, judgement "
7513,Taxi and limousine drivers and chauffeurs ,HS ,1550,"$25,000.00",Good ,410,"Reliability, flexibility, organized "
7514,Delivery and courier service drivers ,HS ,2350,"$43,400.00",Good ,320,"Reliability, team player, organized "
7521,Heavy equipment operators (except crane) ,HS ,5280,"$72,700.00",Fair ,540,Attention to detail 
7522,Public works maintenance equipment operators and related workers ,HS ,770,"$62,600.00",Fair ,150,"Team player, excellent oral communication, flexibility "
7531,Railway yard and track maintenance workers ,HS ,560,"$75,400.00",Fair ,90,"Attention to detail, work under pressure, team player "
7534,Air transport ramp attendants ,HS ,210,"$35,900.00",Fair ,40,"Team player, flexibility, reliability "
7535,Other automotive mechanical installers and servicers ,HS ,1160,"$43,600.00",Limited ,130,"Team player, attention to detail, reliability "
7611,Construction trades helpers and labourers ,LHS ,6740,"$51,100.00",Limited ,750,"Reliability, team player, flexibility "
7612,Other trades helpers and labourers ,LHS ,460,"$57,400.00",Limited ,50,"Team player, reliability, dependability "
7621,Public works and maintenance labourers ,LHS ,1290,"$52,300.00",Good ,270,"Dependability, team player, flexibility "
7622,Railway and motor transport labourers ,LHS ,220,"$66,100.00",Fair ,30,"Reliability, flexibility, team player "
8211,"Supervisors, logging and forestry ",PS ,70,"$76,300.00",Fair ,20,n.a. 
8221,"Supervisors, mining and quarrying ",PS ,770,"$163,700.00",Limited ,130,"Work under pressure, attention to detail, judgement, effective interpersonal skills, team player, dependability, initiative, flexibility "
8222,"Contractors and supervisors, oil and gas drilling and services ",PS ,1510,"$123,700.00",Limited ,30,"Effective interpersonal skills, team player, accurate, attention to detail, judgement, organized, tight deadlines, excellent oral communication, work under pressure, excellent written communication, initiative "
8231,Underground production and development miners ,PS ,1760,"$122,300.00",Limited ,70,"Work under pressure, team player, dependability "
8232,"Oil and gas well drillers, servicers, testers and related workers ",PS ,970,"$98,900.00",Limited ,-90,"Attention to detail, work under pressure, team player, reliability "
8241,Logging machinery operators ,PS ,150,"$65,800.00",Limited ,30,"Team player, attention to detail, work under pressure "
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers ",PS ,910,"$48,700.00",Fair ,90,"Team player, attention to detail, organized "
8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services ",PS ,600,"$56,500.00",Limited ,90,"Attention to detail, team player, initiative "
8411,Underground mine service and support workers ,HS ,340,"$111,400.00",Limited ,30,"Team player, reliability, dependability, excellent oral communication "
8412,Oil and gas well drilling and related workers and services operators ,HS ,720,"$79,100.00",Limited ,-60,"Reliability, team player, judgement "
8421,Chain saw and skidder operators ,HS ,110,"$41,000.00",Limited ,30,"Team player, judgement, dependability, flexibility, reliability "
8422,Silviculture and forestry workers ,HS ,170,"$99,200.00",Fair ,20,"Team player, judgement "
8431,General farm workers ,HS ,9580,"$35,700.00",Good ,1510,"Attention to detail, team player, work under pressure "
8432,Nursery and greenhouse workers ,HS ,430,"$39,700.00",Fair ,70,"Reliability, attention to detail, team player "
8611,Harvesting labourers ,LHS ,90,"$65,900.00",Fair ,10,"Reliability, team player, flexibility "
8612,Landscaping and grounds maintenance labourers ,LHS ,3080,"$42,000.00",Fair ,530,"Reliability, team player, dependability "
8614,Mine labourers ,LHS ,380,"$83,200.00",Limited ,10,"Team player, attention to detail, flexibility, effective interpersonal skills "
8615,"Oil and gas drilling, servicing and related labourers ",LHS ,1020,"$64,000.00",Limited ,-90,"Team player, attention to detail "
8616,Logging and forestry labourers ,LHS ,140,n.a. ,Fair ,30,"Reliability, team player, attention to detail "
9211,"Supervisors, mineral and metal processing ",PS ,210,"$100,200.00",Fair ,30,"Attention to detail, reliability, effective interpersonal skills "
9212,"Supervisors, petroleum, gas and chemical processing and utilities ",PS ,840,"$123,300.00",Fair ,170,"Team player, reliability, attention to detail, organized "
9213,"Supervisors, food, beverage and associated products processing ",PS ,390,"$72,700.00",Fair ,100,"Attention to detail, team player, reliability, flexibility "
9215,"Supervisors, forest products processing ",PS ,90,"$78,100.00",Good ,30,"Reliability, effective interpersonal skills, team player, judgement "
9226,"Supervisors, other mechanical and metal products manufacturing ",PS ,170,"$65,600.00",Fair ,40,n.a. 
9231,"Central control and process operators, mineral and metal processing ",PS ,130,"$116,600.00",Limited ,10,n.a. 
9232,"Petroleum, gas and chemical process operators ",PS ,1800,"$119,300.00",Limited ,20,"Attention to detail, team player, initiative "
9241,Power engineers and power systems operators ,PS ,1650,"$125,600.00",Limited ,160,"Dependability, team player, effective interpersonal skills "
9243,Water and waste treatment plant operators ,PS ,700,"$66,800.00",Fair ,130,"Reliability, excellent oral communication, organized "
9411,"Machine operators, mineral and metal processing ",HS ,260,"$89,500.00",Fair ,50,"Attention to detail, team player, excellent oral communication "
9414,"Concrete, clay and stone forming operators ",HS ,150,"$55,500.00",Fair ,20,"Team player, attention to detail, accurate "
9415,"Inspectors and testers, mineral and metal processing ",HS ,140,"$93,300.00",Fair ,20,"Accurate, team player, dependability "
9416,Metalworking and forging machine operators ,HS ,410,"$61,500.00",Fair ,70,"Attention to detail, team player, organized "
9417,Machining tool operators ,HS ,110,"$55,200.00",Fair ,20,"Attention to detail, reliability, excellent oral communication "
9418,Other metal products machine operators ,HS ,140,"$66,500.00",Fair ,20,"Attention to detail, team player, dependability "
9421,Chemical plant machine operators ,HS ,160,"$72,200.00",Fair ,30,"Attention to detail, team player, accurate "
9422,Plastics processing machine operators ,HS ,90,"$42,500.00",Fair ,-10,"Reliability, dependability, team player "
9423,Rubber processing machine operators and related workers ,HS ,220,"$82,800.00",Fair ,50,"Reliability, dependability, team player "
9431,Sawmill machine operators ,HS ,130,"$46,600.00",Limited ,30,"Team player, attention to detail, excellent oral communication "
9434,Other wood processing machine operators ,HS ,60,"$50,600.00",Limited ,20,Attention to detail 
9437,Woodworking machine operators ,HS ,70,"$49,600.00",Limited ,10,Attention to detail 
9442,"Weavers, knitters and other fabric making occupations ",HS ,100,"$29,500.00",Fair ,10,"Attention to detail, team player, accurate "
9446,Industrial sewing machine operators ,HS ,170,"$32,400.00",Fair ,40,"Attention to detail, reliability, accurate "
9461,"Process control and machine operators, food, beverage and associated products processing ",HS ,1000,"$50,100.00",Fair ,180,"Team player, attention to detail, flexibility "
9462,"Industrial butchers and meat cutters, poultry preparers and related workers ",HS ,440,"$39,400.00",Fair ,90,"Attention to detail, team player, accurate "
9465,"Testers and graders, food, beverage and associated products processing ",HS ,80,"$55,900.00",Fair ,20,"Reliability, attention to detail, team player "
9471,Plateless printing equipment operators ,HS ,110,"$47,800.00",Limited ,0,"Attention to detail, team player, organized "
9522,"Motor vehicle assemblers, inspectors and testers ",HS ,120,"$47,200.00",Fair ,20,"Attention to detail, reliability, team player "
9523,"Electronics assemblers, fabricators, inspectors and testers ",HS ,160,"$39,800.00",Fair ,80,"Attention to detail, team player, reliability "
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing ",HS ,80,"$45,100.00",Fair ,20,"Team player, attention to detail, reliability "
9526,Mechanical assemblers and inspectors ,HS ,680,"$46,700.00",Fair ,140,"Attention to detail, reliability, team player "
9527,"Machine operators and inspectors, electrical apparatus manufacturing ",HS ,80,"$61,300.00",Fair ,20,"Flexibility, reliability, organized "
9532,Furniture and fixture assemblers and inspectors ,HS ,90,"$36,700.00",Limited ,20,"Attention to detail, reliability, team player "
9533,Other wood products assemblers and inspectors ,HS ,140,"$41,200.00",Fair ,20,"Attention to detail, team player, reliability "
9534,Furniture finishers and refinishers ,HS ,110,"$46,600.00",Limited ,30,"Team player, attention to detail, reliability "
9535,"Plastic products assemblers, finishers and inspectors ",HS ,80,"$42,500.00",Limited ,-20,"Reliability, team player, organized "
9536,"Industrial painters, coaters and metal finishing process operators ",HS ,480,"$51,900.00",Fair ,70,"Reliability, attention to detail, team player "
9537,"Other products assemblers, finishers and inspectors ",HS ,270,"$43,200.00",Fair ,40,"Attention to detail, team player, reliability "
9611,Labourers in mineral and metal processing ,LHS ,360,"$79,800.00",Fair ,50,"Team player, dependability, flexibility "
9612,Labourers in metal fabrication ,LHS ,340,"$60,200.00",Fair ,50,"Reliability, dependability, attention to detail "
9613,Labourers in chemical products processing and utilities ,LHS ,160,"$56,300.00",Fair ,30,Attention to detail 
9614,"Labourers in wood, pulp and paper processing ",LHS ,190,"$68,400.00",Fair ,30,Attention to detail 
9617,"Labourers in food, beverage and associated products processing ",LHS ,1710,"$35,700.00",Fair ,310,"Reliability, team player, attention to detail "
9619,"Other labourers in processing, manufacturing and utilities ",LHS ,1250,"$36,800.00",Fair ,250,"Reliability, attention to detail, team player "
